Day,# of Users,TVT Price,Economy,# of TVT,Investor 1 TVT Ownership,Adjusted % of TVT,Investor 1 TVT Selloff,Investor 1 Return,Investor 1 % Return
1,"10,000",$0.0071,"$270,000,000.00","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
2,"10,032",$0.0069,"$262,748,903.45","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
3,"10,036",$0.0071,"$268,249,300.10","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
4,"10,115",$0.0069,"$262,190,530.52","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
5,"10,122",$0.0070,"$265,096,151.46","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
6,"10,127",$0.0072,"$273,417,911.04","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
7,"12,686",$0.0087,"$332,256,554.49","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
8,"12,705",$0.0086,"$325,888,907.77","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
9,"14,739",$0.0099,"$378,053,278.31","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
10,"14,755",$0.0100,"$378,468,841.75","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
11,"14,767",$0.0101,"$382,766,889.12","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
12,"14,773",$0.0105,"$398,873,172.35","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
13,"14,779",$0.0098,"$371,109,305.45","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
14,"15,113",$0.0102,"$387,647,320.65","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
15,"15,376",$0.0104,"$394,387,122.01","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
16,"15,416",$0.0105,"$399,585,920.66","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
17,"15,426",$0.0105,"$399,846,946.03","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
18,"15,433",$0.0103,"$391,684,460.43","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
19,"15,493",$0.0108,"$409,936,228.84","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
20,"15,543",$0.0103,"$390,276,951.41","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
21,"15,544",$0.0109,"$415,479,373.10","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
22,"15,556",$0.0105,"$399,013,570.80","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
23,"15,571",$0.0107,"$407,796,801.02","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
24,"16,703",$0.0114,"$432,942,665.69","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
25,"20,148",$0.0135,"$511,346,988.14","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
26,"21,544",$0.0152,"$575,874,473.91","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
27,"21,552",$0.0145,"$552,804,974.39","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
28,"21,557",$0.0153,"$582,049,069.75","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
29,"25,573",$0.0176,"$669,748,781.55","38,000,000,000",0.00,0.00%,$0.00,$0.0000,-100.00%
30,"25,591",$0.0070,"$642,592,174.51","92,000,000,000","1,620,000,000.00",1.76%,$0.00,"$11,315,210.0294",129411436726.91%
31,"25,593",$0.0074,"$684,089,985.71","92,000,000,000","1,603,800,000.00",1.74%,"$107,494.50","$12,032,967.5289",137620389901.67%
32,"25,611",$0.0074,"$677,658,242.02","92,000,000,000","1,587,762,000.00",1.73%,"$113,291.99","$11,916,003.9420",136282683769.91%
33,"25,740",$0.0075,"$688,023,367.02","92,000,000,000","1,571,884,380.00",1.71%,"$111,104.57","$12,087,251.7473",138241235532.23%
34,"25,743",$0.0070,"$646,404,040.70","92,000,000,000","1,556,165,536.20",1.69%,"$111,675.93","$11,377,389.7053",130122582271.35%
35,"25,752",$0.0073,"$674,435,533.63","92,000,000,000","1,540,603,880.84",1.67%,"$103,871.32","$11,841,329.6069",135428637493.54%
36,"25,769",$0.0073,"$667,944,022.98","92,000,000,000","1,525,197,842.03",1.66%,"$107,291.97","$11,728,064.8566",134133234752.77%
