Users,Price,Economy,TVTNum,InvestorTVT,InvestorPerc,InvestorSell,InvestorReturn,InvestorPercReturn,Bond
10000,0.007,270000000.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
10136,0.0068418,259988400.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
10345,0.006982875,265349250.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
10554,0.007573883684210526,287807580.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
10709,0.007609026315789474,289143000.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
10712,0.007458934736842105,283439520.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
10607,0.007235090526315789,274933440.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
10785,0.007279875,276635250.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
10995,0.007421625,282021750.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
10337,0.007271263421052631,276308010.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
9797,0.006612975,251293050.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
10283,0.007233278684210526,274864590.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
10771,0.007576548157894737,287908830.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
11189,0.007632075789473684,290018880.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
11374,0.008000711052631579,304027020.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
11486,0.008161105263157895,310122000.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
11760,0.00835578947368421,317520000.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
12671,0.008913048157894737,338695830.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
12856,0.008951835789473684,340169760.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
12886,0.008606491578947368,327046680.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
13191,0.00909137605263158,345472290.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
13059,0.009371550789473684,356118930.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
13635,0.009688026315789473,368145000.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
13431,0.008970494210526316,340878780.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
13680,0.0096228,365666400.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
14336,0.010084244210526316,383201280.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
13605,0.009473376315789473,359988300.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
14018,0.009561751578947368,363346560.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
14146,0.010051105263157894,381942000.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
13856,0.009746602105263158,370370880.0,38000000000.0,0.0,0.0,0.0,0.0,-1.0,0.0
13951,0.007,354076380.0,50582340000.0,377470200.0,0.007462489872947752,0.0,2642291.4,-0.47154172,0.0
14130,0.007542355691729564,381510000.0,50582340000.0,373695498.0,373695498.0,27046.637858568818,2845591.0041725826,-0.43088179916548347,0.0
14331,0.007190667335674862,363720780.0,50582340000.0,369958543.02,369958543.02,25527.640104094957,2712823.0888104406,-0.45743538223791186,0.0
14520,0.007440509869650159,376358400.0,50582340000.0,366258957.58979994,366258957.58979994,26150.46181166646,2803878.1285690153,-0.43922437428619693,0.0
14843,0.007606025344023231,384730560.0,50582340000.0,362596368.01390195,362596368.01390195,26464.861682083647,2863106.7662209263,-0.4273786467558147,0.0
15289,0.008242620448164319,416931030.0,50582340000.0,358970404.3337629,358970404.3337629,28393.07025550463,3092439.466759206,-0.3815121066481588,0.0
15889,0.007972403411941796,403262820.0,50582340000.0,355380700.29042524,355380700.29042524,27187.64032481797,2994008.6195703875,-0.4011982760859225,0.0
16921,0.008490215755143,429454980.0,50582340000.0,351826893.287521,351826893.287521,28663.95879645532,3176520.503305918,-0.3646958993388164,0.0
